onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0	22.0003	85	4	200	1	60	1	0.7691	0	2	0	0	0	0	0	0	2	0	0	0	0.7982	0.8123	17.0793	10.0292	17.0628	22.0003	5	0	0	0.7531	0.7061
22.0065	22.0003	86	4	150	1	35	1	0.6804	0	1	0	0	0	0	0	0	1	0	0	22.0065	22.7098	22.7294	39.0964	32.0463	39.0797	44.0068	5	150	0	0.3196	0.8338
44.0124	20.0002	87	4	200	2	85	1	0	0	0	2	0	0	0.7287	0	2	0	0	0	44.0124	47.0182	47.0182	61.0968	51.7754	61.0802	64.0126	3	100	100	0.4463	0.3552
64.0181	22.0002	88	4	150	2	20	1	0	0	0	2	0	0	0.5726	0	2	0	0	0	64.0181	67.0242	67.0242	81.0972	71.6363	81.0806	86.0183	5	0	150	0.8632	0.0142
86.0237	23.0009	89	4	200	1	90	1	0.7374	0	2	0	0	0	0	0	0	2	0	0	86.0237	86.7849	86.7973	103.1144	96.0647	103.0979	109.0246	6	100	100	0.4652	0.5784
109.0335	22.0002	90	4	150	1	80	1	0.5162	0	2	0	0	0	0	0	0	1	0	0	109.0335	109.5806	109.5978	126.1147	119.0645	126.098	131.0337	5	150	0	0.6579	0.4723
131.0384	23	91	4	200	2	40	1	0	0	0	1	0	0	0.5351	0	1	0	0	0	131.0384	134.0435	134.0436	148.1318	138.6168	148.1151	154.0384	6	100	100	0.5805	0.509
154.0431	23	92	4	150	2	90	1	0	0	0	1	0	0	0.7464	0	1	0	0	0	154.0431	157.0487	157.0488	171.1322	161.8285	171.1156	177.0431	6	0	150	0.8384	0.292
177.0483	25	93	4	200	1	75	1	0.7224	0	2	0	0	0	0	0	0	2	0	0	177.0483	177.8049	177.8158	194.1327	187.0826	194.116	202.0483	8	100	100	0.1557	0.0684
202.0536	22	94	4	150	1	80	1	0.5177	0	2	0	0	0	0	0	0	2	0	0	202.0536	202.6008	202.6162	219.1332	212.0829	219.1165	224.0536	5	0	150	0.4234	0.5151
224.0581	26.0001	95	4	200	2	20	1	0	0	0	1	0	0	0.563	0	1	0	0	0	224.0581	227.0635	227.0636	241.1503	231.6632	241.1336	250.0582	9	100	100	0.6406	0.7541
250.0636	24	96	4	150	2	35	1	0	0	0	1	0	0	0.5366	0	1	0	0	0	250.0636	253.0691	253.0691	267.1508	257.6373	267.1341	274.0636	7	150	0	0.5468	0.6335
274.0688	23.0001	97	4	200	1	40	1	0.8144	0	1	0	0	0	0	0	0	1	0	0	274.0688	274.9154	274.9343	291.1512	284.1011	291.1345	297.0689	6	100	100	0.2285	0.1595
297.0737	21.0001	98	4	150	1	15	1	0.7557	0	1	0	0	0	0	0	0	1	0	0	297.0737	297.8572	297.868	314.1517	307.1015	314.135	318.0738	4	0	150	0.1834	0.4431
318.0791	24.0001	99	4	200	2	75	1	0	0	0	2	0	0	0.4937	0	2	0	0	0	318.0791	321.0852	321.0852	335.1688	325.6124	335.1521	342.0792	7	100	100	0.9354	0.4902
342.0844	24.0001	100	4	150	2	10	1	0	0	0	2	0	0	0.5546	0	2	0	0	0	342.0844	345.0901	345.0901	359.1526	349.6738	359.1359	366.0845	7	0	150	0.1201	0.4497
366.0894	21	101	4	200	1	65	1	0.5341	0	2	0	0	0	0	0	0	2	0	0	366.0894	366.6538	366.6694	383.1697	376.1195	383.153	387.0894	4	0	0	0.4006	0.8435
387.095	21	102	4	150	1	25	1	0.5905	0	1	0	0	0	0	0	0	2	0	0	387.095	387.7105	387.7198	404.1701	397.1199	404.1534	408.095	4	150	0	0.5671	0.7424
408.1002	25	103	4	200	2	10	1	0	0	0	1	0	0	0.5129	0	1	0	0	0	408.1002	411.1061	411.1061	425.1872	415.6503	425.1705	433.1002	8	100	100	0.3624	0.5683
433.1053	24	104	4	150	2	70	1	0	0	0	1	0	0	0.5763	0	1	0	0	0	433.1053	436.1105	436.1105	450.1877	440.7141	450.171	457.1053	7	0	150	0.125	0.2
457.1108	21	105	4	200	1	25	1	0.6799	0	1	0	0	0	0	0	0	1	0	0	457.1108	457.8181	457.8378	474.2048	467.1547	474.1881	478.1108	4	0	0	0.5543	0.9767
478.1162	24	106	4	150	1	15	1	0.7719	0	1	0	0	0	0	0	0	2	0	0	478.1162	478.9103	478.9216	495.1885	488.1384	495.1719	502.1162	7	150	0	0.1922	0.686
502.1211	24	107	4	200	2	85	1	0	0	0	2	0	0	0.5857	0	2	0	0	0	502.1211	505.1267	505.1267	519.2057	509.7416	519.189	526.1211	7	100	100	0.466	0.2755
526.1264	24.0001	108	4	150	2	30	1	0	0	0	1	0	0	0.5202	0	1	0	0	0	526.1264	529.1319	529.1319	543.2061	533.6761	543.1894	550.1265	7	0	150	0.9492	0.9329
550.1313	19	109	4	200	1	65	1	0.4912	0	2	0	0	0	0	0	0	2	0	0	550.1313	550.6475	550.6563	567.2066	560.1564	567.1899	569.1313	2	100	100	0.8982	0.1699
569.1361	21.0001	110	4	150	1	30	1	0.504	0	1	0	0	0	0	0	0	1	0	0	569.1361	569.6607	569.6733	586.2236	579.1735	586.207	590.1362	4	0	150	0.9304	0.3336
590.1416	20.0001	111	4	200	2	60	1	0	0	0	2	0	0	0.5814	0	2	0	0	0	590.1416	593.1469	593.1469	607.2241	597.7554	607.2073	610.1417	3	100	100	0.654	0.051
